Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Processing","Offals","2018","1000 t","362"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2018","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2018","1000 t","136"
"Food Balances (2010-)","World","Residuals","Offals","2018","1000 t","-147"
"Food Balances (2010-)","World","Food","Offals","2018","1000 t","18005"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2018","kg/cap","2.36"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2018","kcal/cap/d","9"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2018","Kcal","23818030.63"
"Food Balances (2010-)","World","Production","Offals","2019","1000 t","20622"
"Food Balances (2010-)","World","Import quantity","Offals","2019","1000 t","5311"
"Food Balances (2010-)","World","Stock Variation","Offals","2019","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2019","1000 t","5778"
"Food Balances (2010-)","World","Feed","Offals","2019","1000 t","949"
"Food Balances (2010-)","World","Losses","Offals","2019","1000 t","1513"
"Food Balances (2010-)","World","Processing","Offals","2019","1000 t","377"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2019","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2019","1000 t","205"
"Food Balances (2010-)","World","Residuals","Offals","2019","1000 t","-842"
"Food Balances (2010-)","World","Food","Offals","2019","1000 t","17953"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2019","kg/cap","2.32"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2019","kcal/cap/d","8"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2019","Kcal","23633803.38"
"Food Balances (2010-)","World","Production","Offals","2020","1000 t","21836"
"Food Balances (2010-)","World","Import quantity","Offals","2020","1000 t","5542"
"Food Balances (2010-)","World","Stock Variation","Offals","2020","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2020","1000 t","5837"
"Food Balances (2010-)","World","Feed","Offals","2020","1000 t","1012"
"Food Balances (2010-)","World","Losses","Offals","2020","1000 t","1642"
"Food Balances (2010-)","World","Processing","Offals","2020","1000 t","382"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2020","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2020","1000 t","0"
"Food Balances (2010-)","World","Residuals","Offals","2020","1000 t","-10"
"Food Balances (2010-)","World","Food","Offals","2020","1000 t","18515"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2020","kg/cap","2.37"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2020","kcal/cap/d","9"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2020","Kcal","24326650.35"
"Food Balances (2010-)","World","Production","Offals","2021","1000 t","22381"
"Food Balances (2010-)","World","Import quantity","Offals","2021","1000 t","5425"
"Food Balances (2010-)","World","Stock Variation","Offals","2021","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2021","1000 t","5883"
"Food Balances (2010-)","World","Feed","Offals","2021","1000 t","977"
"Food Balances (2010-)","World","Losses","Offals","2021","1000 t","1716"
"Food Balances (2010-)","World","Processing","Offals","2021","1000 t","363"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2021","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2021","1000 t","0"
"Food Balances (2010-)","World","Residuals","Offals","2021","1000 t","-507"
"Food Balances (2010-)","World","Food","Offals","2021","1000 t","19374"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2021","kg/cap","2.46"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2021","kcal/cap/d","9"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2021","Kcal","25648292.82"
"Food Balances (2010-)","World","Production","Offals","2022","1000 t","22738"
"Food Balances (2010-)","World","Import quantity","Offals","2022","1000 t","5127"
"Food Balances (2010-)","World","Stock Variation","Offals","2022","1000 t","0"
"Food Balances (2010-)","World","Export quantity","Offals","2022","1000 t","5695"
